6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Lattice Parameter
(angstrom)"
MgS-MgS-MgS-AlAs-CuBr-CuBr,4.022
MgS-MgS-MgS-AlAs-CuBr-GaAs,4.119
MgS-MgS-MgS-AlAs-CuBr-ZnSe,4.066
MgS-MgS-MgS-AlAs-GaAs-GaAs,4.079
MgS-MgS-MgS-AlAs-ZnSe-GaAs,4.103
MgS-MgS-MgS-AlAs-ZnSe-ZnSe,4.079
MgS-MgS-MgS-AlP-AlP-CuBr,3.957
MgS-MgS-MgS-AlP-AlP-GaP,3.992
MgS-MgS-MgS-AlP-AlP-ZnSe,4.015
MgS-MgS-MgS-AlP-CuBr-GaP,4.037
MgS-MgS-MgS-AlP-CuBr-ZnSe,4.004
MgS-MgS-MgS-AlP-GaP-GaP,3.993
MgS-MgS-MgS-AlP-ZnSe-GaP,4.037
MgS-MgS-MgS-AlP-ZnSe-ZnSe,4.039
MgS-MgS-MgS-BeTe-AlAs-AlAs,4.0539999999999985
MgS-MgS-MgS-BeTe-AlAs-CuBr,3.981
MgS-MgS-MgS-BeTe-AlAs-GaAs,4.06
MgS-MgS-MgS-BeTe-AlAs-ZnSe,4.058
MgS-MgS-MgS-BeTe-AlP-AlP,3.999
MgS-MgS-MgS-BeTe-AlP-CuBr,3.944
MgS-MgS-MgS-BeTe-AlP-GaP,4.003
MgS-MgS-MgS-BeTe-BeTe-AlAs,4.045
MgS-MgS-MgS-BeTe-BeTe-BeTe,4.002
MgS-MgS-MgS-BeTe-BeTe-GaAs,4.052
MgS-MgS-MgS-BeTe-BeTe-GaP,4.025
MgS-MgS-MgS-BeTe-BeTe-ZnSe,4.027
MgS-MgS-MgS-BeTe-CuBr-CuBr,3.967
MgS-MgS-MgS-BeTe-CuBr-GaP,4.059
MgS-MgS-MgS-BeTe-CuBr-ZnSe,4.042
MgS-MgS-MgS-BeTe-GaAs-GaAs,4.055
MgS-MgS-MgS-BeTe-GaP-GaP,4.001
MgS-MgS-MgS-BeTe-ZnSe-GaAs,4.074
MgS-MgS-MgS-BeTe-ZnSe-GaP,4.045
MgS-MgS-MgS-BeTe-ZnSe-ZnSe,4.037
MgS-MgS-MgS-CuBr-CuBr-CuBr,3.995
MgS-MgS-MgS-CuBr-CuBr-GaAs,4.089
MgS-MgS-MgS-CuBr-CuBr-ZnSe,4.016
MgS-MgS-MgS-CuBr-GaAs-GaAs,4.034
MgS-MgS-MgS-CuBr-GaP-GaP,4.007
MgS-MgS-MgS-CuBr-ZnSe-GaP,4.045
MgS-MgS-MgS-CuBr-ZnSe-ZnSe,4.027
MgS-MgS-MgS-GaAs-GaAs-GaAs,4.089
MgS-MgS-MgS-MgS-AlAs-AlAs,4.081
MgS-MgS-MgS-MgS-AlAs-CuBr,4.0360000000000005
MgS-MgS-MgS-MgS-AlAs-GaAs,4.084
MgS-MgS-MgS-MgS-AlAs-ZnSe,4.083
MgS-MgS-MgS-MgS-AlP-AlP,4.029
MgS-MgS-MgS-MgS-AlP-CuBr,3.973
MgS-MgS-MgS-MgS-AlP-GaP,4.0310000000000015
MgS-MgS-MgS-MgS-BeTe-AlAs,4.063
MgS-MgS-MgS-MgS-BeTe-AlP,4.0360000000000005
MgS-MgS-MgS-MgS-BeTe-CuBr,4.021
MgS-MgS-MgS-MgS-BeTe-GaAs,4.07
MgS-MgS-MgS-MgS-BeTe-GaP,4.04
MgS-MgS-MgS-MgS-BeTe-ZnSe,4.0360000000000005
MgS-MgS-MgS-MgS-CuBr-CuBr,3.998
MgS-MgS-MgS-MgS-CuBr-GaAs,4.084
MgS-MgS-MgS-MgS-CuBr-GaP,4.057
MgS-MgS-MgS-MgS-CuBr-ZnSe,4.022
MgS-MgS-MgS-MgS-GaAs-GaAs,4.093
MgS-MgS-MgS-MgS-GaP-GaP,4.04
MgS-MgS-MgS-MgS-MgS-AlAs,4.082
MgS-MgS-MgS-MgS-MgS-AlP,4.06
MgS-MgS-MgS-MgS-MgS-BeTe,4.016
MgS-MgS-MgS-MgS-MgS-GaAs,4.093
MgS-MgS-MgS-MgS-MgS-GaP,4.07
MgS-MgS-MgS-MgS-MgS-MgS,4.05
MgS-MgS-MgS-MgS-ZnSe-GaP,4.056
MgS-MgS-MgS-MgS-ZnSe-ZnSe,4.042
MgS-MgS-MgS-ZnSe-GaP-GaP,4.0310000000000015
MgS-MgS-MgS-ZnSe-ZnSe-GaAs,4.079
MgS-MgS-ZnSe-ZnSe-GaAs-GaAs,4.078
MgS-MgS-ZnSe-ZnSe-GaP-GaP,4.025
MgS-MgS-ZnSe-ZnSe-ZnSe-GaAs,4.075
MgS-MgS-ZnSe-ZnSe-ZnSe-GaP,4.048
MgS-MgS-ZnSe-ZnSe-ZnSe-ZnSe,4.045
MgS-ZnSe-GaAs-GaAs-GaAs-GaAs,4.073
MgS-ZnSe-ZnSe-GaAs-GaAs-GaAs,4.075
MgS-ZnSe-ZnSe-ZnSe-GaAs-GaAs,4.075
MgS-ZnSe-ZnSe-ZnSe-GaP-GaP,4.021
MgS-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,4.073
MgS-ZnSe-ZnSe-ZnSe-ZnSe-GaP,4.047
MgS-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,4.044
ZnO-GaN-GaN-GaN-GaN-GaN,3.242
ZnO-ZnO-GaN-GaN-GaN-GaN,3.274
ZnO-ZnO-ZnO-ZnO-GaN-GaN,3.289
ZnO-ZnO-ZnO-ZnO-ZnO-GaN,3.2910000000000004
ZnS-GaP-GaP-GaP-GaP-GaP,3.899
ZnS-ZnS-GaP-GaP-GaP-GaP,3.898
ZnS-ZnS-ZnS-GaP-GaP-GaP,3.893
ZnS-ZnS-ZnS-ZnS-GaP-GaP,3.886
ZnS-ZnS-ZnS-ZnS-ZnS-GaP,3.878
ZnS-ZnS-ZnS-ZnS-ZnS-ZnS,3.846
ZnSe-ZnSe-GaAs-GaAs-GaAs-GaAs,4.079
ZnSe-ZnSe-GaP-GaP-GaP-GaP,3.95
ZnSe-ZnSe-ZnSe-GaAs-GaAs-GaAs,4.075
ZnSe-ZnSe-ZnSe-GaP-GaP-GaP,3.982
ZnSe-ZnSe-ZnSe-ZnSe-GaP-GaP,4.01
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-GaP,4.035
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,4.048
ZnTe-CdSe-CdSe-CdSe-CdSe-CdSe,4.373
ZnTe-CdSe-CdSe-CdSe-CdSe-InAs,4.379
ZnTe-CdSe-CdSe-CdSe-CdSe-InP,4.339
ZnTe-CdSe-CdSe-CdSe-InAs-InAs,4.384
ZnTe-CdSe-CdSe-CdSe-InP-InP,4.311
ZnTe-CdSe-CdSe-InAs-InAs-InAs,4.385
ZnTe-CdSe-CdSe-InP-InP-InP,4.279
ZnTe-CdSe-InAs-InAs-InAs-InAs,4.378
ZnTe-CdSe-InP-InP-InP-InP,4.244
ZnTe-GaSb-CdSe-CdSe-InAs-InAs,4.382
ZnTe-GaSb-CdSe-InAs-InAs-InAs,4.386
ZnTe-GaSb-GaSb-CdSe-CdSe-CdSe,4.393
ZnTe-GaSb-GaSb-CdSe-CdSe-InAs,4.381
ZnTe-GaSb-GaSb-CdSe-InAs-InAs,4.382
ZnTe-GaSb-GaSb-GaSb-CdSe-CdSe,4.387
ZnTe-GaSb-GaSb-GaSb-GaSb-CdSe,4.384
ZnTe-GaSb-GaSb-GaSb-GaSb-GaSb,4.392
ZnTe-GaSb-GaSb-GaSb-InAs-InAs,4.368
ZnTe-GaSb-GaSb-InAs-InAs-InAs,4.368
ZnTe-GaSb-InAs-InAs-InAs-InAs,4.363
ZnTe-InAs-InAs-InAs-InAs-InAs,4.346
ZnTe-ZnTe-CdSe-CdSe-CdSe-InAs,4.377
ZnTe-ZnTe-CdSe-CdSe-InAs-InAs,4.38
ZnTe-ZnTe-CdSe-CdSe-InP-InP,4.313
ZnTe-ZnTe-CdSe-InAs-InAs-InAs,4.377
ZnTe-ZnTe-CdSe-InP-InP-InP,4.28
ZnTe-ZnTe-GaSb-CdSe-CdSe-CdSe,4.4
ZnTe-ZnTe-GaSb-CdSe-CdSe-InAs,4.394
ZnTe-ZnTe-GaSb-CdSe-InAs-InAs,4.393
ZnTe-ZnTe-GaSb-GaSb-CdSe-CdSe,4.384
ZnTe-ZnTe-GaSb-GaSb-CdSe-InAs,4.382
ZnTe-ZnTe-GaSb-GaSb-GaSb-CdSe,4.382
ZnTe-ZnTe-GaSb-GaSb-GaSb-GaSb,4.39
ZnTe-ZnTe-GaSb-GaSb-GaSb-InAs,4.371
ZnTe-ZnTe-GaSb-GaSb-InAs-InAs,4.374
ZnTe-ZnTe-GaSb-InAs-InAs-InAs,4.373
ZnTe-ZnTe-InAs-InAs-InAs-InAs,4.349
ZnTe-ZnTe-InP-InP-InP-InP,4.234
ZnTe-ZnTe-ZnTe-CdSe-CdSe-CdSe,4.365
ZnTe-ZnTe-ZnTe-CdSe-CdSe-InAs,4.368
ZnTe-ZnTe-ZnTe-CdSe-InAs-InAs,4.372
ZnTe-ZnTe-ZnTe-CdSe-InP-InP,4.308
ZnTe-ZnTe-ZnTe-GaSb-CdSe-CdSe,4.392
ZnTe-ZnTe-ZnTe-GaSb-CdSe-InAs,4.545
ZnTe-ZnTe-ZnTe-GaSb-GaSb-CdSe,4.377
ZnTe-ZnTe-ZnTe-InAs-InAs-InAs,4.351
ZnTe-ZnTe-ZnTe-ZnTe-GaSb-CdSe,4.384
ZnTe-ZnTe-ZnTe-ZnTe-GaSb-GaSb,4.385
ZnTe-ZnTe-ZnTe-ZnTe-GaSb-InAs,4.369
ZnTe-ZnTe-ZnTe-ZnTe-InAs-InAs,4.352
ZnTe-ZnTe-ZnTe-ZnTe-InP-InP,4.294
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,4.356
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-GaSb,4.385
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-InP,4.317
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,4.3580000000000005
