6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"GGA
Band gap (eV)"
MgS-MgS-MgS-AlP-AlP-ZnSe,0.01
MgS-MgS-MgS-AlP-CuBr-GaP,0.02
MgS-MgS-MgS-AlP-GaP-GaP,0.01
MgS-MgS-MgS-AlP-ZnSe-GaP,0.0
MgS-MgS-MgS-AlP-ZnSe-ZnSe,0.01
MgS-MgS-MgS-BeTe-AlAs-AlAs,0.02
MgS-MgS-MgS-BeTe-AlAs-GaAs,0.01
MgS-MgS-MgS-BeTe-AlAs-ZnSe,0.01
MgS-MgS-MgS-BeTe-AlP-GaP,0.01
MgS-MgS-MgS-BeTe-AlP-ZnSe,0.21
MgS-MgS-MgS-BeTe-BeTe-AlAs,0.22
MgS-MgS-MgS-BeTe-BeTe-AlP,0.71
MgS-MgS-MgS-BeTe-BeTe-BeTe,1.06
MgS-MgS-MgS-BeTe-BeTe-CuBr,0.0
MgS-MgS-MgS-BeTe-BeTe-GaAs,0.06
MgS-MgS-MgS-BeTe-BeTe-GaP,0.51
MgS-MgS-MgS-BeTe-CuBr-CuBr,0.01
MgS-MgS-MgS-BeTe-CuBr-GaP,0.0
MgS-MgS-MgS-BeTe-GaAs-GaAs,0.01
MgS-MgS-MgS-BeTe-GaP-GaP,0.01
MgS-MgS-MgS-BeTe-ZnSe-GaAs,0.0
MgS-MgS-MgS-BeTe-ZnSe-GaP,0.01
MgS-MgS-MgS-BeTe-ZnSe-ZnSe,0.87
MgS-MgS-MgS-CuBr-CuBr-CuBr,0.02
MgS-MgS-MgS-CuBr-CuBr-GaP,0.0
MgS-MgS-MgS-CuBr-GaP-GaP,0.0
MgS-MgS-MgS-CuBr-ZnSe-GaAs,0.0
MgS-MgS-MgS-CuBr-ZnSe-GaP,0.0
MgS-MgS-MgS-CuBr-ZnSe-ZnSe,0.02
MgS-MgS-MgS-GaAs-GaAs-GaAs,0.01
MgS-MgS-MgS-GaP-GaP-GaP,0.01
MgS-MgS-MgS-MgS-AlAs-AlAs,0.01
MgS-MgS-MgS-MgS-AlAs-GaAs,0.02
MgS-MgS-MgS-MgS-AlP-AlP,0.02
MgS-MgS-MgS-MgS-AlP-CuBr,0.02
MgS-MgS-MgS-MgS-AlP-GaP,0.02
MgS-MgS-MgS-MgS-BeTe-AlAs,0.0
MgS-MgS-MgS-MgS-BeTe-BeTe,1.05
MgS-MgS-MgS-MgS-BeTe-CuBr,0.0
MgS-MgS-MgS-MgS-BeTe-GaAs,0.0
MgS-MgS-MgS-MgS-BeTe-GaP,0.5
MgS-MgS-MgS-MgS-BeTe-ZnSe,1.14
MgS-MgS-MgS-MgS-CuBr-CuBr,0.01
MgS-MgS-MgS-MgS-CuBr-GaAs,0.0
MgS-MgS-MgS-MgS-CuBr-GaP,0.0
MgS-MgS-MgS-MgS-CuBr-ZnSe,0.0
MgS-MgS-MgS-MgS-GaAs-GaAs,0.01
MgS-MgS-MgS-MgS-GaP-GaP,0.01
MgS-MgS-MgS-MgS-MgS-AlAs,0.01
MgS-MgS-MgS-MgS-MgS-AlP,0.0
MgS-MgS-MgS-MgS-MgS-BeTe,1.04
MgS-MgS-MgS-MgS-MgS-MgS,3.39
MgS-MgS-MgS-MgS-MgS-ZnSe,2.19
MgS-MgS-MgS-MgS-ZnSe-GaP,0.0
MgS-MgS-MgS-MgS-ZnSe-ZnSe,1.79
MgS-MgS-MgS-ZnSe-GaAs-GaAs,0.01
MgS-MgS-MgS-ZnSe-ZnSe-GaAs,0.0
MgS-MgS-MgS-ZnSe-ZnSe-GaP,0.01
MgS-MgS-MgS-ZnSe-ZnSe-ZnSe,1.57
MgS-MgS-ZnSe-GaAs-GaAs-GaAs,0.0
MgS-MgS-ZnSe-ZnSe-GaAs-GaAs,0.0
MgS-MgS-ZnSe-ZnSe-GaP-GaP,0.01
MgS-MgS-ZnSe-ZnSe-ZnSe-GaAs,0.0
MgS-MgS-ZnSe-ZnSe-ZnSe-GaP,0.0
MgS-MgS-ZnSe-ZnSe-ZnSe-ZnSe,1.41
MgS-ZnSe-GaAs-GaAs-GaAs-GaAs,0.01
MgS-ZnSe-GaP-GaP-GaP-GaP,0.0
MgS-ZnSe-ZnSe-GaAs-GaAs-GaAs,0.01
MgS-ZnSe-ZnSe-GaP-GaP-GaP,0.01
MgS-ZnSe-ZnSe-ZnSe-GaAs-GaAs,0.01
MgS-ZnSe-ZnSe-ZnSe-ZnSe-GaP,0.0
ZnO-GaN-GaN-GaN-GaN-GaN,0.01
ZnO-ZnO-ZnO-GaN-GaN-GaN,0.01
ZnO-ZnO-ZnO-ZnO-GaN-GaN,0.01
ZnO-ZnO-ZnO-ZnO-ZnO-GaN,0.0
ZnO-ZnO-ZnO-ZnO-ZnO-ZnO,0.76
ZnS-GaP-GaP-GaP-GaP-GaP,0.01
ZnS-ZnS-GaP-GaP-GaP-GaP,0.0
ZnS-ZnS-ZnS-GaP-GaP-GaP,0.01
ZnS-ZnS-ZnS-ZnS-GaP-GaP,0.01
ZnS-ZnS-ZnS-ZnS-ZnS-GaP,0.01
ZnS-ZnS-ZnS-ZnS-ZnS-ZnS,2.07
ZnSe-GaP-GaP-GaP-GaP-GaP,0.0
ZnSe-ZnSe-GaAs-GaAs-GaAs-GaAs,0.0
ZnSe-ZnSe-GaP-GaP-GaP-GaP,0.0
ZnSe-ZnSe-ZnSe-GaAs-GaAs-GaAs,0.0
ZnSe-ZnSe-ZnSe-ZnSe-GaAs-GaAs,0.01
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,0.0
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-GaP,0.01
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,1.18
ZnTe-CdSe-CdSe-CdSe-CdSe-CdSe,0.02
ZnTe-CdSe-CdSe-CdSe-CdSe-InP,0.0
ZnTe-CdSe-CdSe-CdSe-InAs-InAs,0.01
ZnTe-CdSe-CdSe-CdSe-InP-InP,0.0
ZnTe-CdSe-CdSe-InAs-InAs-InAs,0.0
ZnTe-CdSe-CdSe-InP-InP-InP,0.01
ZnTe-CdSe-InAs-InAs-InAs-InAs,0.0
ZnTe-CdSe-InP-InP-InP-InP,0.0
ZnTe-GaSb-CdSe-CdSe-CdSe-CdSe,0.0
ZnTe-GaSb-CdSe-CdSe-InAs-InAs,0.0
ZnTe-GaSb-CdSe-InAs-InAs-InAs,0.0
ZnTe-GaSb-GaSb-CdSe-CdSe-CdSe,0.01
ZnTe-GaSb-GaSb-CdSe-CdSe-InAs,0.0
ZnTe-GaSb-GaSb-CdSe-InAs-InAs,0.01
ZnTe-GaSb-GaSb-GaSb-CdSe-CdSe,0.01
ZnTe-GaSb-GaSb-GaSb-GaSb-GaSb,0.0
ZnTe-GaSb-GaSb-GaSb-InAs-InAs,0.0
ZnTe-GaSb-GaSb-InAs-InAs-InAs,0.0
ZnTe-GaSb-InAs-InAs-InAs-InAs,0.0
ZnTe-InAs-InAs-InAs-InAs-InAs,0.0
ZnTe-InP-InP-InP-InP-InP,0.0
ZnTe-ZnTe-CdSe-CdSe-CdSe-CdSe,0.01
ZnTe-ZnTe-CdSe-CdSe-CdSe-InAs,0.0
ZnTe-ZnTe-CdSe-CdSe-InAs-InAs,0.0
ZnTe-ZnTe-CdSe-CdSe-InP-InP,0.01
ZnTe-ZnTe-CdSe-InP-InP-InP,0.01
ZnTe-ZnTe-GaSb-CdSe-CdSe-CdSe,0.01
ZnTe-ZnTe-GaSb-CdSe-CdSe-InAs,0.0
ZnTe-ZnTe-GaSb-CdSe-InAs-InAs,0.0
ZnTe-ZnTe-GaSb-GaSb-CdSe-CdSe,0.0
ZnTe-ZnTe-GaSb-GaSb-CdSe-InAs,0.01
ZnTe-ZnTe-GaSb-GaSb-GaSb-CdSe,0.0
ZnTe-ZnTe-GaSb-GaSb-GaSb-GaSb,0.0
ZnTe-ZnTe-GaSb-GaSb-InAs-InAs,0.01
ZnTe-ZnTe-GaSb-InAs-InAs-InAs,0.0
ZnTe-ZnTe-InAs-InAs-InAs-InAs,0.01
ZnTe-ZnTe-InP-InP-InP-InP,0.0
ZnTe-ZnTe-ZnTe-CdSe-CdSe-CdSe,0.13
ZnTe-ZnTe-ZnTe-CdSe-CdSe-InAs,0.01
ZnTe-ZnTe-ZnTe-CdSe-InAs-InAs,0.0
ZnTe-ZnTe-ZnTe-CdSe-InP-InP,0.01
ZnTe-ZnTe-ZnTe-GaSb-CdSe-InAs,0.0
ZnTe-ZnTe-ZnTe-GaSb-GaSb-GaSb,0.0
ZnTe-ZnTe-ZnTe-InAs-InAs-InAs,0.0
ZnTe-ZnTe-ZnTe-ZnTe-CdSe-CdSe,0.25
ZnTe-ZnTe-ZnTe-ZnTe-GaSb-GaSb,0.0
ZnTe-ZnTe-ZnTe-ZnTe-GaSb-InAs,0.01
ZnTe-ZnTe-ZnTe-ZnTe-InAs-InAs,0.01
ZnTe-ZnTe-ZnTe-ZnTe-InP-InP,0.0
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,0.31
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-InP,0.31
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,1.1
